experiment	expected_log10	observed_log10
exp01	5.077277039192832	316.36629213496076
exp01	2.9980957931452066	78.5688288682991
exp01	2.6970657974812253	49.06788929322894
exp01	2.5221825906145123	39.133899436317556
exp01	2.3969415257782685	31.909179540382013
exp01	2.300575855204421	26.490639618430347
exp01	2.221152594950531	22.27621967913461
exp01	2.154033020562555	19.56694971815878
exp01	2.096365101415988	17.45973974851091
exp01	2.0450613358948497	15.653559774527022
exp01	1.9995458595404396	14.148409796207115
exp01	1.9580211499148947	12.782570960766446
exp01	1.92012259928655	11.740169830895267
exp01	1.8855466458299752	10.837079843903323
exp01	1.8532622278199675	9.992786457939358
exp01	1.8234546004847583	9.547045232540807
exp01	1.7953351057520068	8.967848124172347
exp01	1.7689260906061057	8.428839878591473
exp01	1.7442330093693443	7.826779887263511
exp01	1.7206776034678608	7.434990493331227
exp01	1.6985158638764584	6.996217221257539
exp01	1.677257404127673	6.622659904607587
exp01	1.6569911542509137	6.321629908943605
exp01	1.637786448803148	6.020599913279624
exp01	1.6192438466963255	5.719569917615643
exp01	1.601605850868402	5.418539921951662
exp01	1.584516650165994	5.3121502698305685
exp01	1.5680745168617287	5.11750992628768
exp01	1.5523618916529647	4.8164799306237
exp01	1.5370727393507717	4.678177232457418
exp01	1.522424604820777	4.515449934959718
exp01	1.508137313720372	4.424741457160792
exp01	1.4944185769683322	4.214419939295737
exp01	1.4810099127973162	4.214419939295737
exp01	1.468002866788244	3.9466364681755928
exp01	1.455477815190164	3.9133899436317554
exp01	1.443203013705363	3.838756325335001
exp01	1.4313637641589874	3.6275709587704115
exp01	1.4197431516348453	3.612359947967774
exp01	1.4084253911103128	3.5661674109927657
exp01	1.3974858682124771	3.3952874623179907
exp01	1.3867265776824729	3.311329952303882
exp01	1.3763138610332821	3.311329952303793
exp01	1.3660605148717415	3.2020768222221565
exp01	1.356043669175554	3.067807470235535
exp01	1.346333345765096	3.0102999566398565
exp01	1.336756453139167	3.010299956639812
exp01	1.3274634538998937	3.010299956639812
exp01	1.3182894923252122	2.899617799310631
exp01	1.3093053178112126	2.8113865968956566
exp01	1.3005758552044206	2.729911058090417
exp01	1.2919472041820645	2.709269960975853
exp01	1.2835564823793082	2.693836757028908
exp01	1.2752562874208557	2.628959209787236
exp01	1.267111754649682	2.5851138925217656
exp01	1.2591831700461957	2.5008547144498863
exp01	1.2513318959889834	2.4662319122895364
exp01	1.2436837451943754	2.3787293678033112
exp01	1.2361053446932995	2.3538011343305985
exp01	1.2287184670690683	2.2853194825397205
exp01	1.221394609156796	2.2227094639938323
exp01	1.214192213872472	2.1973865999969564
exp01	1.2071658838284307	2.178250751466072
exp01	1.200193782542181	2.134894842214989
exp01	1.193388581304351	2.122752981700058
exp01	1.186632502897584	2.0899063216101075
exp01	1.179979917133335	2.0437746205919307
exp01	1.1734818964517963	2.023406834681718
exp01	1.1670262668926836	1.9737926997258841
exp01	1.1607178198917176	1.971679289949545
exp01	1.1544478195261827	1.939008081924122
exp01	1.1482670536988704	1.9311187105921872
exp01	1.1422234499617665	1.9234272825807506
exp01	1.1362130509729296	1.8971372219502902
exp01	1.130333768495006	1.8953138799859603
exp01	1.1244845961487395	1.8880840783669852
exp01	1.118713155970864	1.870010788406362
exp01	1.1130645662230123	1.8400169513999673
exp01	1.1074419461170342	1.8139856237770366
exp01	1.101937154587373	1.7865326108727428
exp01	1.0964558725484959	1.773189054620913
exp01	1.0910429090578357	1.7545754622223844
exp01	1.0857408638928001	1.725593915558507
exp01	1.0804590173133162	1.709509668005029
exp01	1.075283865369301	1.6919215241831675
exp01	1.0701269338261468	1.6722171568617106
exp01	1.0650727431620888	1.6678772758176057
exp01	1.0600349546451857	1.6678772758176057
exp01	1.0550549346851257	1.6528380848262068
exp01	1.0501721733134803	1.648572120622221
exp01	1.0453033501011146	1.6485342634187574
exp01	1.0405284100206293	1.644819741179384
exp01	1.0357659262335082	1.6176308932100727
exp01	1.031055101971195	1.6031245184076517
exp01	1.0264334582359125	1.5750579789117045
exp01	1.0218222542515918	1.5674551292997427
exp01	1.0172973222486699	1.5432293882321573
exp01	1.0127816124001037	1.538212325587194
exp01	1.0083123732483847	1.5309239401123471
exp01	1.0039253368059307	1.510269422455939
exp01	0.9995458595404395	1.510269422455939
exp01	0.9952460579258195	1.484579766099075
exp01	0.9909528078854464	1.4706152082555242
exp01	0.9867015839706298	1.459799896137718
exp01	0.982526486715327	1.453997455872526
exp01	0.9783565604705015	1.4473544337580848
exp01	0.9742605488645163	1.4379046951226218
exp01	0.9701688692442776	1.4147953170450056
exp01	0.9661153796152436	1.4137028610133529
exp01	0.962132687399725	1.4137028610133529
exp01	0.9581531743822145	1.4137028610133529
exp01	0.9542425094393249	1.400657348208109
exp01	0.950334321248604	1.3831101837671138
exp01	0.9464931246038752	1.3831101837671127
exp01	0.9426537495303942	1.3636600631513953
exp01	0.9388480191868278	1.3609268656290816
exp01	0.935106652916736	1.3506892460024573
exp01	0.9313662050604578	1.327615533555892
exp01	0.927688471405087	1.3122509474029578
exp01	0.9240111041169629	1.3094340581963742
exp01	0.9203646134928147	1.3094340581963735
exp01	0.9167784956704855	1.3023515577141296
exp01	0.9131919817339728	1.2959725079445947
exp01	0.9096643664653015	1.2820052625139577
exp01	0.9061358881644495	1.273664777237062
exp01	0.9026358465323832	1.2713412973806277
exp01	0.8991926063136197	1.2520777456255399
exp01	0.8957478570863282	1.2412920856960388
exp01	0.8923585856403699	1.2412920856960388
exp01	0.8889674089988273	1.2412920856960388
exp01	0.8856025072336027	1.2412920856960388
exp01	0.8822911957669506	1.2378208249979321
exp01	0.8789774302251447	1.2257504430543176
exp01	0.8757160610760945	1.2116311800366493
exp01	0.8724519007878151	1.202478465257145
exp01	0.8692120910454335	1.196760665011972
