expected_log10	ci_low_log10	ci_high_log10
5.077378807937644	4.510487413297517	6.673949117996707
2.9959572492527395	2.9239039290069475	3.0795518794484553
2.6967312448954495	2.643985044091442	2.753876860086895
2.521242985348626	2.478574874364385	2.5683507412059776
2.396606062750388	2.3590920163253855	2.43676067560584
2.2998772388779685	2.265951887720906	2.3353641978100206
2.2208168275970244	2.190161480488522	2.2535252111449418
2.1539563691024366	2.1253297718129285	2.1839490136907482
2.0960291817407484	2.069496585355751	2.1243208151830753
2.044927034560604	2.0197296145178627	2.0713817539868513
1.9992098484212424	1.975153488445908	2.0241222383247504
1.95785014239009	1.9351052078832756	1.9817831346378192
1.920089066019754	1.8981879295901856	1.9428495955352438
1.8853502172506962	1.8641996103197096	1.9070821796971416
1.8531854698622143	1.8329614163226458	1.87427131430728
1.823239525076918	1.803607610701009	1.8434920766612504
1.7952259208087362	1.7763552965598357	1.8149601318996262
1.7689103231106278	1.750520991856101	1.7879503341635938
1.7440985984178665	1.7261528416315894	1.7625058167834076
1.7206281135559265	1.7032801048122068	1.7386505221657074
1.6983612689552667	1.6813855556716877	1.7158398855351096
1.6771806106424503	1.6605523684398216	1.6941566150748346
1.6569850799370973	1.6408440166322924	1.6736629570531953
1.63768709717196	1.6218445240487351	1.6539233481539466
1.6192102663097352	1.6037973812685493	1.6351882264382929
1.6014875482824613	1.5863342926592792	1.6170730548336725
1.5844597926890676	1.569552386270885	1.5996768577874925
1.5680745466624892	1.5535325346715745	1.5830816709603948
1.552285080398704	1.537960120195061	1.5669601365046184
1.5370495837112297	1.52305450722929	1.551538103371303
1.5223304988100088	1.508528663003134	1.536517478956396
1.5080939624950698	1.494476880979243	1.521994886837688
1.4943093369159817	1.4809807794204082	1.5080537083008514
1.480948812540714	1.4677864571881916	1.4944308853875938
1.467987070396692	1.4549843014296862	1.4812191214894597
1.4554009932727832	1.442653769385839	1.4684997114819764
1.4431694176048804	1.4305669959931941	1.4560370353654828
1.431272919355701	1.418906695147295	1.4440189810637165
1.4196936284484747	1.4074594603795583	1.432225128289497
1.408415067303633	1.3963084308535756	1.420740767184563
1.3974220098165693	1.3855280977633888	1.4096421773368755
1.3867003577476231	1.3749235112065015	1.398728300674807
1.376237032006447	1.3645735475323406	1.3880800381128366
1.3660198767276976	1.3545495031574335	1.3777704013903942
1.3560375743734863	1.3446718452112092	1.3676144700557982
1.3462795703756432	1.3350949963602883	1.3577707688420606
1.3367360060596496	1.3256483587569066	1.3480637145175647
1.327397658781517	1.3164042318334928	1.3385674203389988
1.318255888366415	1.3074287410802419	1.3293495847950567
1.3093025890693775	1.2985631044628791	1.3202469544966087
1.3005301463886856	1.2899477104088992	1.3114035015055459
1.2919313981553302	1.28143074825292	1.3026632373491807
1.2834995994003315	1.273078696770367	1.294094262277539
1.2752283905681328	1.2649529218075313	1.2857593725511822
1.2671117687007867	1.2569109733667385	1.2775123229105796
1.2591440612658555	1.2490161890664453	1.2694179684993698
1.251319902342203	1.2413273079160954	1.2615363981882723
1.2436342109132723	1.2337101233773844	1.2537299358231415
1.2360821710479313	1.226286918031186	1.2461238038573945
1.2286592137752756	1.2189284503363413	1.2385854820909739
1.2213610004825721	1.2116933578700035	1.2311749714801787
1.2141834076852762	1.2046363826453141	1.2239482408204205
1.2071225130352627	1.1976350707144734	1.2167798121486673
1.2001745824483991	1.1907455250913332	1.2097270698774887
1.1933360582456898	1.1840203019649587	1.2028437299643004
1.1866035482137112	1.1773430418513886	1.196010631133986
1.17997381550012	1.1708218890527604	1.1893383798158388
1.1734437692688937	1.164344208506947	1.1827116719236361
1.1670104560477659	1.1579622976278714	1.1761839652063093
1.1606710517072314	1.1517253936265148	1.1698055559031149
1.1544228540165915	1.1455260193924404	1.1634664778839479
1.1482632757279345	1.1394649833634807	1.1572697638373088
1.1421898381437425	1.1334379829487322	1.1511087306778518
1.1362001651281084	1.127493961134412	1.145033377423239
1.1302919775253428	1.1216791948718283	1.139090951675977
1.1244630879531659	1.115893806162472	1.133179343288614
1.1187113959407111	1.1101849117673046	1.1273466693448355
1.1130348833843051	1.1045971639481211	1.121638504985813
1.1074316102964101	1.0990347427806584	1.1159569311692124
1.1018997108253343	1.0935885400863385	1.1103947544188921
1.0964373895252648	1.0881652564691728	1.1048566573704093
1.0910429178579717	1.0828092377372367	1.0993879032173983
1.0857146309091261	1.0775626540469219	1.0940315131659852
1.0804509243036238	1.0723357484779483	1.0886958244395657
1.075250251305616	1.0671713479866372	1.0834245367857946
1.0701111200901294	1.0621102537560418	1.0782592634724866
1.0650320911742392	1.057065988229093	1.0731117228252516
1.0600117749967222	1.0521212694874598	1.0680663036757925
1.0550488296360125	1.0471916715494114	1.0630368385601254
1.050141958657085	1.042317701705461	1.0580646407135494
1.0452899090786163	1.0375380591153265	1.0531891625308856
1.0404914694524583	1.032771220368342	1.048327226386991
1.0357454680480538	1.0280564130968066	1.0435188296644553
1.0310507711349877	1.0234311711444337	1.0388022273587503
1.026406281357379	1.018816678189404	1.0340970288830422
1.0218109361942824	1.014288807094477	1.0294805819047055
1.01726370650069	1.0097704449804166	1.024874248866566
1.012763595124132	1.0052988533314098	1.0203160063813566
1.008309635592215	1.0009097677377234	1.0158422624845551
1.0039008908667815	0.996528498414857	1.0113768722786856
0.9995364521606733	0.9922271805640317	1.0069933421697153
0.9952154378133595	0.9879326538781614	1.0026171000546011
0.9909369922219505	0.9836803964064387	0.998284290645318
0.9867002848243567	0.9795045045547948	0.9940296392857443
0.9825045091315675	0.97533399996766	0.9897808168172996
